,Address,Locality,Price,Beds,Area,Full Baths,Half Baths,Lot Size
0,"Los Angeles, CA 90022",1335 S Clela,"$949,999",6 ,"2,934 ",3 ,,
1,"Los Angeles, CA 90031",3711 Baldwin Street #1701,"$777,000",3 ,,,,
2,"Los Angeles, CA 90013",400 S Broadway Ave 2410,"$1,499,000",2 ,928 ,2 ,,
3,"Los Angeles, CA 90025",1915 Malcolm Avenue 302,"$1,129,000",3 ,"1,515 ",2 ,,
4,"Los Angeles, CA 90015",1100 S Hope St 1113,"$510,000",1 ,746 ,1 ,,
5,"Los Angeles, CA 90015",1100 S Hope St 1405,"$610,000",1 ,880 ,1 ,,
6,"Los Angeles, CA 90015",1155 S Grand Ave 801,"$850,000",1 ,"1,230 ",2 ,,
7,"Los Angeles, CA 90015",1130 S Flower St 413,"$769,000",2 ,"1,675 ",2 ,,
8,"Los Angeles, CA 90015",1100 S Hope St 801,"$1,325,000",2 ,"1,628 ",3 ,,
9,"Los Angeles, CA 90015",1111 S Grand Ave 702,"$575,000",1 ,"1,100 ",1 ,,
10,"Los Angeles, CA 90015",1100 S Hope St 914,"$600,000",1 ,947 ,1 ,,
11,"Los Angeles, CA 90027",4043 Cumberland Avenue,"$998,000",3 ,"2,495 ",3 ,1 ,
12,"Reseda, CA 91335",8161 Canby Avenue 4,"$579,999",3 ,"1,573 ",2 ,1 ,
13,"Los Angeles, CA 90044",641 W 127th Street,"$1,625,000",7 ,"2,466 ",5 ,,
14,"Los Angeles, CA 90025",2027 Beloit Avenue 103,"$948,000",3 ,"1,282 ",3 ,1 ,
15,"Los Angeles, CA 90046",8716 Hollywood Hills Rd,"$2,495,000",4 ,"2,598 ",4 ,,
16,"Los Angeles, CA 90066",3667 Sawtelle Boulevard,"$1,995,000",5 ,"2,895 ",3 ,1 ,
17,"Los Angeles, CA 90049",11667 Gorham Avenue 306,"$1,110,000",2 ,"1,649 ",2 ,,
18,"Los Angeles, CA 90029",1206 N Normandie Avenue,"$1,190,000",3 ,"1,945 ",2 ,,
19,"West Hollywood, CA 90069",1230 N Sweetzer Avenue 213,"$585,000",1 ,681 ,1 ,,
20,"Baldwin Hills, CA 90008",4223 Don Carlos Dr,"$2,250,000",4 ,"4,869 ",4 ,1 ,
21,"Los Angeles, CA 90046",8560 Walnut Drive,"$1,195,000",3 ,"2,500 ",2 ,,
22,"West Hollywood, CA 90069",8420 Sunset Blvd 408,"$4,999,000",2 ,"2,736 ",2 ,1 ,
23,"West Hollywood, CA 90069",8420 W Sunset Blvd 801,"$8,700,000",3 ,"3,028 ",3 ,1 ,
24,"Los Angeles, CA 90006",1800 S Oxford Avenue,"$595,000",4 ,"2,071 ",1 ,,
